epoch,train_loss,train_acc,val_loss,val_acc,val_f1,time_s
0,0.7702,0.7212,0.3540,0.8766,0.8741,105.4
1,0.1839,0.9409,0.4106,0.8766,0.8750,103.5
2,0.0930,0.9739,0.2283,0.9351,0.9350,117.9
3,0.0268,0.9904,0.3167,0.9091,0.9079,105.0
4,0.0098,0.9986,0.2579,0.9286,0.9273,104.3
5,0.0053,0.9986,0.3047,0.9091,0.9090,129.4
6,0.0019,0.9986,0.3420,0.9221,0.9214,126.9
7,0.0005,1.0000,0.3570,0.9351,0.9355,143.3
8,0.0003,1.0000,0.3470,0.9351,0.9356,104.3
9,0.0004,1.0000,0.3657,0.9221,0.9214,105.1
10,0.0061,0.9986,0.3354,0.9286,0.9284,66.1
11,0.0002,1.0000,0.3478,0.9221,0.9220,66.9
12,0.0002,1.0000,0.3358,0.9351,0.9348,64.6
